WKT,name,description,Distance from Rutgers 1,Distance from Rutgers
(-74.19252999999999 40.7217723),Eddy's supermarket,NOT INTERESTED: Sold Produce and are satisfied with their way of obtaining it,,
(-74.2135991 40.723341),Eddy's supermarket On Clinton,About 22 mins Via BUS, About 13-15 mins DRIVING,
(-74.1735106 40.75618589999999),Food Plaza Supermarket ,INTERESTED: Interested in Project if they can cut cost and increase profits,,
(-74.21009049999999 40.71294410000001),Jr Freeway Deli Market,About 25- 30 mins Via BUS, About 15 mins DRIVING,
(-74.1909903 40.7171641),L S Deli Market ,NOT INTERESTED: Sold Fresh Produce, Satisfied with there way of obtaining Fresh Produce,
(-74.2076835 40.7173743),Hawthorne Grocery,About 20-25 mins Via BUS, About 13 -15 mins DRIVING  ,
(-74.163294 40.7796756),Global Mini Market,About 10- 15 min Via BUS About 5 mins DRIVING,,
(-74.1926689 40.7557406),7th Ave. Grocery,5 mins DRIVING, 15 - 20 mins VIA BUS, 25 mins WALKING
(-74.1765008 40.7602041),Bloomfield Deli,6 mins WALKING, 12 mins BUS, 25 mins WALKING
(-74.2112087 40.73353349999999),JNC Mini Market,12 mins DRIVING, 25 - 30 mins via BUS, 
(-74.2025407 40.7355629),Casey's Grocery,8 mins DRIVING, 13 mins via BUS ,
(-74.18218379999999 40.7302912),2 Friends Deli & Grocery,NOT INTERESTED: Owner said he was interested in focusing on Fresh Produce ,,
(-74.17432509999999 40.75120630000001),F&D Supermarket,2 mins DRIVING, 10 mins WALKING ,
(-74.19913729999999 40.7347416),De Sanchez Grocery Llc,7 mins DRIVING, 11 mins via BUS, 30 mins WALKING
(-74.2104478 40.7355141),D & A Deli Grocery,10 mins DRIVING, 18 mins via BUS,
(-74.1811757 40.7485073),El piloto deli & grocery,3 mins DRIVING, 10 mins via BUS, 11 mins WALKING 
(-74.1835502 40.7228705),Bodega La Chiquita,NOT INTERESTED: No Fridge space for fresh Produce ,,
(-74.1741136 40.7551615),La Bodeguita Deli Grocery,NOT INTERESTED: Sold Fresh Produce but not interested in making changes ,,
(-74.19809 40.7519384),JM grocery store & Deli,10 mins DRIVING, 17 - 20 mins via BUS, 
(-74.19809 40.7519384),JM grocery store & Deli,,,
(-74.17056649999999 40.7542511),El Eden,,,
(-74.17418909999999 40.7416983),Rutgers University,,,
(-74.1800639 40.7246212),Link Community Charter School,,,
(-74.17970849999999 40.723203),La Favorita Supermarket,NOT INTERESTED: Sold Fresh Produce,,
(-74.1926872 40.7387679),Rodriguez Family Market,5 mins DRIVING,,
(-74.2068654 40.7098998),New Stop 4 Food Market,About 25- 30 mins Via BUS,,
(-74.20750389999999 40.7271845),Medina Meat Market,12 mins DRIVING,,
(-74.1781371 40.7566432),Park Avenue Deli and Food Market,5 mins DRIVING,,
(-74.17920749999999 40.7296026),Washington food market,INTERESTED: Owner was very interested in helping the community. Looking to reduce costs and increase profits.,,
(-74.1963839 40.7391862),We the best Food Market,,,
(-74.20495489999999 40.73977000000001),R&R Grocery,8 mins DRIVING,,
(-74.20351029999999 40.7314356),New Mega Supermarket,10 mins DRIVING,,
(-74.1822777 40.7290155),Shop Smart Food Market,INTERESTED:  Interest in project is reliant on if it will reduce costs and increase profits with project.,,
