Produce,Category,Retail Price $/lb,Retail Margin %,Retail Handling $/lb,Bodega Shrink %,Farm Markup %,Farm Cost $/lb,Farm Sale $/lb,Farm Shrink %,Dist. Margin %,Dist. Handling $/lb,Dist. Sale $/lb,Dist. Shrink %,Qty lbs
"Peppers (sweet, green)",Fruit,1.63,37,0.15,11.4,15,0.46,0.53,2,12,0.22,0.84,4,100
Tomatoes (all fresh),Fruit,2.14,37,0.15,11.4,15,0.6,0.69,2,12,0.22,1.02,4,100
Cucumbers,Fruit,1.22,37,0.15,11.4,15,0.34,0.39,2,12,0.22,0.68,4,100
Lemons,Fruit,2.47,37,0.15,11.4,15,0.96,1.1,2,12,0.22,1.48,4,100
Apricots,Fruit,4.25,37,0.15,11.4,15,1.66,1.91,2,12,0.22,2.39,4,100
Pears,Fruit,1.82,37,0.15,11.4,15,0.71,0.82,2,12,0.22,1.16,4,100
Apples,Fruit,1.62,37,0.15,11.4,15,0.63,0.72,2,12,0.22,1.05,4,100
Peaches,Fruit,2.33,37,0.15,11.4,15,0.91,1.05,2,12,0.22,1.42,4,100
Strawberries,Fruit,3.62,37,0.15,11.4,15,1.41,1.62,2,12,0.22,2.06,4,100
Blueberries,Fruit,4.5,37,0.15,11.4,15,1.76,2.02,2,12,0.22,2.51,4,100
Plantains,Fruit,0.72,37,0.15,11.4,15,0.28,0.32,2,12,0.22,0.61,4,100
Lime,Fruit,1.64,37,0.15,11.4,15,0.64,0.74,2,12,0.22,1.07,4,100
Mint,Herb,25,37,0.5,9.7,15,7,8.05,3,12,1,10.01,5,100
Chamomile,Herb,32,37,0.5,9.7,15,8.96,10.3,3,12,1,12.65,5,100
Sage,Herb,20,37,0.5,9.7,15,5.6,6.44,3,12,1,8.37,5,100
Lavender,Herb,25,37,0.5,9.7,15,7,8.05,3,12,1,10.01,5,100
Oregano,Herb,24,37,0.5,9.7,15,6.72,7.73,3,12,1,9.61,5,100
Mugwort,Herb,10,37,0.5,9.7,15,2.8,3.22,3,12,1,4.72,5,100
Dandelion greens,Herb,2.64,37,0.5,9.7,15,0.74,0.85,3,12,1,2.09,5,100
Celery,Vegetable,1.55,37,0.15,9.7,15,0.43,0.49,2,12,0.2,0.77,4,100
Carrots,Vegetable,0.82,37,0.15,9.7,15,0.23,0.26,2,12,0.2,0.52,4,100
Beets,Vegetable,1.67,37,0.15,9.7,15,0.47,0.54,2,12,0.2,0.83,4,100
Zucchini,Vegetable,1.59,37,0.15,9.7,15,0.45,0.52,2,12,0.2,0.8,4,100
Kale,Vegetable,2.75,37,0.15,9.7,15,0.77,0.88,2,12,0.2,1.22,4,100
Collard greens,Vegetable,1.41,37,0.15,9.7,15,0.39,0.45,2,12,0.2,0.74,4,100
Onions,Vegetable,0.9,37,0.15,9.7,15,0.25,0.29,2,12,0.2,0.55,4,100
Radish,Vegetable,1.49,37,0.15,9.7,15,0.42,0.48,2,12,0.2,0.76,4,100
